serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
75,Jagat Kumar Soni,11955,Bhartiya Azad Sena,0,Post Graduate,35,"27,83,000",27 Lacs,"55,000",55 Thou
76,Jaidullah Ansari,10231,IND,0,Literate,66,"69,25,000",69 Lacs,"1,00,000",1 Lacs
77,Jay Prakash Prasad,11165,IND,0,12th Pass,47,"52,58,000",52 Lacs,0,
78,Jayant Sinha,11166,BJP,0,Post Graduate,55,"77,07,49,002",77 Crore,"19,32,71,437",19 Crore
79,Jitendra Kumar Barnwal,14091,IND,0,12th Pass,34,0,0,"3,53,210",3 Lacs
80,Jitendra Thakur,11380,IND,0,Others,63,"1,15,06,560",1 Crore,0,
81,Jogeshwar Thakur,12885,Vishva SHakti Party,1,Graduate,41,"42,58,200",42 Lacs,0,
82,Jorawar Ram,10287,IND,1,Literate,69,"2,27,00,000",2 Crore,0,
83,K. Rangaiah,14094,IND,0,Post Graduate,82,"6,80,000",6 Lacs,0,
84,K.C.Singh Raj,12205,IND,0,Post Graduate,67,"10,83,000",10 Lacs,0,
85,Kali Charan Munda,11361,INC,0,12th Pass,57,"51,11,665",51 Lacs,0,
86,Kalindar Oraon,10260,IND,0,12th Pass,43,"16,36,800",16 Lacs,"25,000",25 Thou
87,Kanchan Kumari,11671,AITC,0,Graduate,28,"52,90,000",52 Lacs,"12,00,000",12 Lacs
88,Kirti Azad,12208,INC,4,Graduate,58,"8,40,26,755",8 Crore,"51,47,300",51 Lacs
89,Krishna Kumar Singh,11956,Bharat Prabhat Party,0,Graduate,28,0,0,0,
90,Krishna Mardi,12880,Jharkhand Mukti Morcha (Ulgulan),0,Graduate,61,"19,58,965",19 Lacs,"8,00,000",8 Lacs
91,Lakshmi Devi,12206,IND,0,Literate,49,"3,32,262",3 Lacs,0,
92,Laxman Giluwa,12877,BJP,3,12th Pass,57,"1,95,16,408",1 Crore,"12,65,285",12 Lacs
93,Madan Ram,10293,CPI(ML) Red Star,0,12th Pass,52,"8,43,000",8 Lacs,"1,05,000",1 Lacs
94,Madhu Sudan,13344,Jharkhand Party (Secular),0,10th Pass,63,"86,55,000",86 Lacs,"10,00,000",10 Lacs
95,Madhusudan Ray,14092,IND,0,10th Pass,52,"8,71,394",8 Lacs,"3,585",3 Thou
96,Madhvi Singh,12903,AITC,0,8th Pass,41,"2,13,65,000",2 Crore,0,
97,Mahashay Tudu,12994,Hindusthan Nirman Dal,0,8th Pass,36,"14,57,100",14 Lacs,0,
98,Mahendra Hansda,14100,IND,11,10th Pass,43,"59,87,000",59 Lacs,0,
99,Mahesh Kumar,12218,Right to Recall Party,0,Graduate Professional,36,0,0,"5,67,313",5 Lacs
100,Mahesh Kumar Suman,14093,IND,0,Post Graduate,55,"2,20,000",2 Lacs,0,
101,Mahesh Pahadiya,14096,IND,0,Literate,48,"10,48,500",10 Lacs,"25,000",25 Thou
102,Malay Kumar Mahato,12908,CPI(ML) Red Star,0,12th Pass,37,"1,24,811",1 Lacs,"11,436",11 Thou
