serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
613,Rajendra Singh Patel,13473,SP,0,Graduate,63,"29,26,81,002",29 Crore,0,
614,Rajendra Yadav,13494,IND,0,Post Graduate,57,"3,51,38,400",3 Crore,0,
615,Rajesh,10528,IND,0,10th Pass,53,"22,05,400",22 Lacs,0,
616,Rajesh Bharti Surya,13912,Rashtriya Ambedkar Dal,3,Graduate Professional,43,"1,18,09,000",1 Crore,"18,00,000",18 Lacs
617,Rajesh Giri,6139,Sarvodaya Bharat Party,0,10th Pass,60,"10,95,752",10 Lacs,"3,95,620",3 Lacs
618,Rajesh Kumar,13498,Rashtriya Samaj Paksha,0,10th Pass,43,"44,02,470",44 Lacs,0,
619,Rajesh Kumar Gond,12947,Gondvana Gantantra Party,0,10th Pass,44,0,0,0,
620,Rajesh Kumar Mishra,12916,INC,1,Doctorate,61,"1,30,88,751",1 Crore,"9,03,849",9 Lacs
621,Rajesh Kumar Yadav,13697,Pragatisheel Manav Samaj Party,0,12th Pass,36,"2,07,78,237",2 Crore,"6,00,000",6 Lacs
622,Rajesh Verma,11503,BJP,1,Post Graduate,58,"7,31,29,716",7 Crore,"1,08,148",1 Lacs
623,Rajesh Vishwakarma,13710,Moulik Adhikar Party,0,12th Pass,36,"21,07,000",21 Lacs,0,
624,Rajiv,12936,Suheldev Bhartiya Samaj Party,0,Graduate,33,"3,85,000",3 Lacs,0,
625,Rajiv Choudhary,6106,Bhartiya Kisan Party,0,12th Pass,45,"8,17,18,444",8 Crore,0,
626,Rajiv Talwar,12552,IND,0,Graduate,43,"41,47,154",41 Lacs,0,
627,Rajkeshar,13507,Sajag Samaj Party,0,Graduate Professional,Unknown,"23,35,000",23 Lacs,0,
628,Rajkumar,11054,Vikas Insaf Party,0,Graduate,40,"30,000",30 Thou,0,
629,Rajkumar Chahar,7144,BJP,3,Graduate,52,0,0,"3,56,404",3 Lacs
630,Rajkumari Ratna Singh,13459,INC,6,Graduate,57,"36,20,51,733",36 Crore,"10,08,000",10 Lacs
631,Rajnath Singh,11464,BJP,0,Post Graduate,67,"5,14,92,709",5 Crore,0,
632,Rajpal Singh,6125,IND,0,Literate,44,"6,15,600",6 Lacs,0,
633,Rajpal Singh Saini,6124,Jan Shakti Dal,0,Graduate Professional,60,"31,10,000",31 Lacs,0,
634,Raju Verma,11032,IND,0,12th Pass,29,"18,65,240",18 Lacs,"10,90,000",10 Lacs
635,Rajveer,7422,IND,0,10th Pass,47,"1,75,385",1 Lacs,0,
636,Rajveer Singh,7414,BJP,0,Graduate Professional,58,"38,36,29,735",38 Crore,"10,02,20,000",10 Crore
637,Rajvir Diler,7121,BJP,0,12th Pass,61,"1,49,30,000",1 Crore,0,
638,Rajwant Singh,12423,SHS,1,Graduate Professional,47,"76,00,000",76 Lacs,"3,00,600",3 Lacs
639,Rakesh,13482,Suheldev Bhartiya Samaj Party,0,12th Pass,36,0,0,0,
640,Rakesh Agarwal Advocate,7406,IND,0,Post Graduate,61,"8,10,35,000",8 Crore,0,
641,Rakesh Sachan,11845,INC,8,Post Graduate,63,"35,06,70,770",35 Crore,"6,77,94,880",6 Crore
642,Rakesh Suri,4945,Right to Recall Party,0,Graduate,42,"1,57,942",1 Lacs,0,
643,Ram Bahadur Sharma,12411,Moulik Adhikar Party,0,Post Graduate,69,"20,51,985",20 Lacs,0,
644,Ram Bahori,5525,IND,0,5th Pass,49,"53,87,104",53 Lacs,0,
645,Ram Chandra,7920,Bharat Prabhat Party,0,Graduate,27,"25,100",25 Thou,0,
646,Ram Chandra,9676,Bhartiya Krishak Dal,0,Post Graduate,52,"19,06,000",19 Lacs,0,
647,Ram Gopal,9675,IND,0,Graduate,55,"9,31,130",9 Lacs,0,
648,Ram Gopal Uttam,9736,IND,0,Post Graduate,69,"3,29,55,000",3 Crore,"1,10,000",1 Lacs
649,Ram Jeevan,9729,Bahujan Awam Party,0,Graduate Professional,35,0,0,0,
650,Ram Kumar,9743,SP,1,Post Graduate,61,"19,80,48,000",19 Crore,"6,10,000",6 Lacs
651,Ram Kumar,11846,Peoples Party of India (Democratic),0,Graduate,68,"35,86,000",35 Lacs,"3,87,000",3 Lacs
652,Ram Kumar Pandey,12558,Hindusthan Nirman Dal,0,Graduate Professional,36,"58,98,888",58 Lacs,0,
653,Ram Milan,11775,Rashtriya Apna Dal,0,12th Pass,50,"23,31,893",23 Lacs,"17,000",17 Thou
654,Ram Narayan,11920,Voters Party International,0,Graduate,56,"77,95,000",77 Lacs,"2,00,000",2 Lacs
655,Ram Naresh,13509,Moulik Adhikar Party,0,Post Graduate,45,"2,47,200",2 Lacs,0,
656,Ram Nath,12401,Rashtriya Janmat Party,0,Post Graduate,81,"6,78,882",6 Lacs,0,
657,Ram Pal,12347,Parivartan Samaj Party,0,10th Pass,47,"32,38,000",32 Lacs,"2,50,000",2 Lacs
658,Ram Phal Shakya,9526,Bahujan Mukti Party,0,10th Pass,67,"35,74,800",35 Lacs,0,
659,Ram Prasad Chaudhary,12534,BSP,3,Others,65,0,0,"11,66,159",11 Lacs
660,Ram Prasad Chaurasiya,12539,Janhit Kisan Party,0,Graduate Professional,49,"53,60,601",53 Lacs,0,
661,Ram Pratap,13890,Purvanchal Mahapanchayat,0,8th Pass,42,"32,54,000",32 Lacs,0,
662,Ram Pravesh,13701,Moulik Adhikar Party,0,Graduate,34,"58,31,000",58 Lacs,0,
663,Ram Sagar,11794,Rashtriya Kranti Party,1,Literate,47,"14,46,000",14 Lacs,"1,75,000",1 Lacs
664,Ram Sagar Paasi,11476,Samdarshi Samaj Party,0,Graduate,38,"15,75,603",15 Lacs,0,
665,Ram Sagar Pal,11895,Awami Samta Party,0,Graduate,37,"71,300",71 Thou,0,
