Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities,Candidate∇ Link
50,Anil Kumar Vashisht,BABARPUR,BJP,0,Post Graduate,"Rs 4,53,66,037~ 4 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=405
51,Anil Singh,GHONDA,Sanjhi Virasat Party,0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=259
52,Anima Ojha,LAXMI NAGAR,Right to Recall Party,0,Doctorate,"Rs 70,000~ 70 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=1
53,Anita,NEW DELHI,IND,0,Post Graduate,"Rs 9,500~ 9 Thou+","Rs 1,61,730~ 1 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=675
54,Anita Bansal,SADAR BAZAR,Asankhya Samaj Party,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=38
55,Anjana Parcha,TRILOKPURI,AAP,1,Graduate,"Rs 65,22,872~ 65 Lacs+","Rs 3,41,357~ 3 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=381
56,Anuradha Rana,NEW DELHI,IND,0,Post Graduate,"Rs 15,000~ 15 Thou+","Rs 1,61,730~ 1 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=676
57,Anurag Kumar,LAXMI NAGAR,IND,0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=33
58,Aravendra Kumar,DWARKA,Suheldev Bharatiya Samaj Party,0,12th Pass,"Rs 19,85,500~ 19 Lacs+","Rs 11,14,000~ 11 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=484
59,Ariba Khan,OKHLA,INC,1,Graduate Professional,"Rs 21,11,744~ 21 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=326
60,Arjun Singh Bhadana,BADARPUR,INC,1,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=406
